date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:13	28946/28946	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Aug%202023%2013:27:27%20GMT	https://www.monopolygo.net/	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/index.html	(from )
11:40:13	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2022%20Apr%202024%2004:40:12%20GMT	https://www.monopolygo.net/robots.txt		(from )
11:40:14	2/2	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Apr%202024%2004:40:13%20GMT	http://www.mywebsiteurl.com/social-share-image.jpg	C:/My%20Web%20Sites/monopolygo/www.mywebsiteurl.com/social-share-image.0.delayed	(from https://www.monopolygo.net/)
11:40:15	1218/1218	---M--	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2004:40:13%20GMT	http://ww25.mywebsiteurl.com/social-share-image.jpg?subid1=20240422-1440-1330-9f5d-4ff0840250c4	C:/My%20Web%20Sites/monopolygo/ww25.mywebsiteurl.com/social-share-image3c76.html	(from https://www.monopolygo.net/)
11:40:15	140936/140936	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Jan%202021%2002:34:06%20GMT	https://www.monopolygo.net/bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/bootstrap/4.1.3/css/bootstrap.min.css	(from https://www.monopolygo.net/)
11:40:16	48598/48598	---MCZ	200	added ('OK')	text/css	date:Wed,%2030%20Jun%202021%2019:12:14%20GMT	https://www.monopolygo.net/releases/v5.3.1/css/all.css	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/releases/v5.3.1/css/all.css	(from https://www.monopolygo.net/)
11:40:16	52789/52789	---MCZ	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2019:34:58%20GMT	https://www.monopolygo.net/ajax/libs/animate.css/3.5.2/animate.min.css	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/ajax/libs/animate.css/3.5.2/animate.min.css	(from https://www.monopolygo.net/)
11:40:16	15275/15275	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Jun%202023%2016:06:10%20GMT	https://www.monopolygo.net/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/ajax/libs/select2/4.0.6-rc.0/css/select2.min.css	(from https://www.monopolygo.net/)
11:40:16	14380/14380	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/css/style.css?v=568574	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/css/styled450.css	(from https://www.monopolygo.net/)
11:40:16	316826/316826	---M--	200	added ('OK')	image/png	date:Mon,%2007%20Aug%202023%2017:53:02%20GMT	https://www.monopolygo.net/assets/images/favicon.png	C:/My%20Web%20Sites/monopolygo/www.monopolygo.net/assets/images/favicon.png	(from https://www.monopolygo.net/)
11:40:17	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	C:/My%20Web%20Sites/monopolygo/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://www.monopolygo.net/)
11:40:17	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%22450fc463b8b1a349df717056fbb3e078%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	C:/My%20Web%20Sites/monopolygo/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/css/bootstrap.min.css	(from https://www.monopolygo.net/)
11:40:17	48944/48944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214d449eb8876fa55e1ef3c2cc52b0c17%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	C:/My%20Web%20Sites/monopolygo/maxcdn.bootstrapcdn.com/bootstrap/4.0.0/js/bootstrap.min.js	(from https://www.monopolygo.net/)
